序号,线路名称,投产时间,"变压器 （台）",单刀闸（座）,"开关 （台）","刀闸 （座）","接地装置 （处）","避雷器 （组）","电杆 （基）",公里,油井
1,生活甲线,1994,15,5,4,13,40,144,299,10.05,82
2,生活乙线,1994,4,4,1,6,8,14,42,2.52,
3,生活丙线,1994,28,3,1,33,32,36,112,6.6,16
4,一号线,1994,28,12,6,52,57,64,567,32.93,27
5,二号线,1994,55,12,5,77,66,89,662,37.5,73
6,M508线,2010,57,5,10,82,61,219,614,34.33,159
7,西环线,1994,78,9,10,107,124,116,589,32.76,138
8,西干线,1994,90,14,9,122,88,136,467,32.62,97
9,中干线,1994,70,0,10,90,86,90,597,33.4,83
10,东干线,1994,35,3,5,48,43,51,303,16.9,53
11,源油甲线,2002,43,2,7,59,53,61,413,23.86,67
12,源油乙线,2002,64,6,4,78,72,84,547,31.15,95
13,源油丙线,2002,24,9,5,43,46,52,481,26.99,47
14,源二甲线,2001,123,13,14,164,153,177,895,51.12,166
15,源二乙线,2001,76,8,12,108,106,116,744,41,93
16,源二丙线,2001,68,17,8,101,91,118,755,42.04,81
17,源二丁线,2002,46,2,9,66,58,68,505,27.13,51
18,源二戊线,2002,26,4,2,34,32,38,308,18.48,54
19,转油甲线,2002,3,1,0,4,2,5,5,0.3,
20,转油乙线,2002,3,1,0,4,2,5,5,0.3,
