线路名称	分支
一号线	干线
一号线	一甲支
一号线	一乙支
一号线	二支
一号线	三支
一号线	四支
一号线	六支
一号线	九支
一号线	十支
一号线	十二支
一号线	头古甲线
二号线	干线
二号线	一支
二号线	二支
二号线	三支
二号线	四支
二号线	五支
二号线	M13
二号线	头古乙线
二号线	新四支
生活甲线	干线
生活甲线	一乙支
生活乙线	干线
生活丙线	干线
生活丙线	一甲支
生活丙线	二甲支
生活丙线	三甲支
M508线	干线
M508线	一甲支
M508线	二甲支
M508线	二乙支
M508线	三甲支
M508线	三乙支
M508线	北支线
M508线	401支线
西环线	干线
西环线	一支
西环线	十一支
西环线	二支
西环线	三支
西环线	M509
西环线	M西环线1-23
西环线	无名岛支线
西环线	新十支
西干线	干线
西干线	一支
西干线	二支
西干线	三支
西干线	四支
西干线	五支
西干线	七支
西干线	八支
西干线	九支
西干线	十支
西干线	十一支
西干线	十二支
西干线	十三支
西干线	十四支
中干线	干线
中干线	一支
中干线	二支
中干线	三支
中干线	四支
中干线	五支
中干线	六支
东干线	干线
东干线	一支
东干线	二支
东干线	三支
东干线	四支
东干线	五支
源二甲线	干线
源二甲线	一甲支
源二甲线	一乙支
源二甲线	二甲支
源二甲线	二乙支
源二甲线	三甲支
源二甲线	四甲支
源二甲线	五乙支
源二甲线	六甲支
源二甲线	六乙支
源二甲线	七甲支
源二甲线	七乙支
源二甲线	八甲支
源二甲线	九甲支
源二甲线	十甲支
源二甲线	十乙支
源二甲线	十一甲支
源二乙线	干线
源二甲线	新二甲支
源二甲线	新二乙支
源二甲线	新三甲支
源二甲线	新一甲支
源二甲线	水源井分支
源二乙线	一甲支
源二乙线	一乙支
源二乙线	二甲支
源二乙线	二乙支
源二乙线	三甲支
源二乙线	三乙支
源二乙线	四甲支
源二乙线	四乙支
源二乙线	六甲支
源二乙线	六乙支
源二乙线	七甲支
源二乙线	七乙支
源二乙线	八甲支
源二乙线	八乙支
源二乙线	九甲支
源二乙线	九乙支
源二乙线	甲乙环线
源二丙线	干线
源二丙线	一分支
源二丙线	二分支
源二丙线	一甲支
源二丙线	二甲支
源二丙线	二乙支
源二丙线	三甲支
源二丙线	三乙支
源二丙线	四甲支
源二丙线	四乙支
源二丙线	五乙支
源二丙线	六甲支
源二丙线	六乙支
源二丙线	七甲支
源二丙线	七乙支
源二丙线	八甲支
源二丙线	八乙支
源二丙线	九甲支
源二丙线	九乙支
源二丙线	十甲支
源二丙线	乙丙环线
源二丁线	干线
源二丁线	一乙支
源二丁线	二甲支
源二丁线	二乙支
源二丁线	三乙支
源二丁线	四乙支
源二丁线	五乙支
源二戊线	干线
源二戊线	一乙支
源二戊线	二乙支
源二戊线	三乙支
源油甲线	干线
源油甲线	一乙支
源油甲线	甲乙环线
源油甲线	T103分支
源油乙线	干线
源油乙线	一甲支
源油乙线	一乙支
源油乙线	二甲支
源油乙线	二乙支
源油乙线	三乙支
源油丙线	干线
源油丙线	一甲支
源油丙线	一乙支
源油丙线	二甲支
源油丙线	二乙支
源油丙线	三乙支
源油乙线	源13外扩井
